"IDUTILIZATOR","NUMEUTILIZATOR","PAROLA","NUME","PRENUME","CNP","EMAIL"
"1","tuxmaster","3c4ac1a78d4a9974c20d7ac6773f94d9","Dinu","Florin",,"tuxmaster@magazinbd.ro"
"2","richard.avedon","3c4ac1a78d4a9974c20d7ac6773f94d9","Richard","Avedon","1590506100523","richardavedon@magazinbd.ro"
"3","dorothea.lange","3c4ac1a78d4a9974c20d7ac6773f94d9","Lange","Dorothea","2400506100523","dorothea.lange@magazinbd.ro"
"4","henri.cartier.bresson","3c4ac1a78d4a9974c20d7ac6773f94d9","Cartier-Bresson","Henri","1080506100523","henri.cartier.bresson@magazinbd.ro"
"5","ion.ionescu","3c4ac1a78d4a9974c20d7ac6773f94d9","Ionescu","Ion","1990506100523","ion.ionescu@gmail.com"
"6","vlad.voiculescu","3c4ac1a78d4a9974c20d7ac6773f94d9","Voiculescu","Vlad","5050506100523","voiculescu.vlad@gmail.com"
"7","gheorghe.gheorghe","3c4ac1a78d4a9974c20d7ac6773f94d9","Gheorghe","Gheorghe","5110506100523","gheorghe.gheorghe@gmail.com"
"8","alina.alinescu","3c4ac1a78d4a9974c20d7ac6773f94d9","Alinescu","Alina","6010506100523","alina.alinescu@gmail.com"
"9","viorica.ionescu","3c4ac1a78d4a9974c20d7ac6773f94d9","Ionescu","Viorica","2990506100523","viorica.ionescu@gmail.com"
"10","sandu.sandescu","3c4ac1a78d4a9974c20d7ac6773f94d9","Sandescu","Sandu","1800506100523","sandu.sandescu@magazinbd.ro"
"11","corina.corinescu","3c4ac1a78d4a9974c20d7ac6773f94d9","Corinescu","Corina","2800506100523","corina.corinescu@magazinbd.ro"
